[Name]
S1 Blade

[Spatial Fields]
X,Y,Z

[Data]
X[m],Y[m],Z[m]

0.49980871701428803,0.0138287908270022,-0.0307873244705462
0.49972940306649594,0.0164359447430285,-0.0325549405098734
0.499637028795921,0.0190604437811185,-0.034410754076398
0.499534518484568,0.0215700424135657,-0.036266341215561104
0.49799845260961895,0.0446939981363831,-0.0641334900209125
0.498035798164409,0.044293235962447,-0.06281047816617981
0.498082593292298,0.0437828438651003,-0.0614177587752207
0.498139600018155,0.043150068646772406,-0.0599466968730374
0.498206948231279,0.0423871881170791,-0.0584059980950914
0.498284316512488,0.041489829147517004,-0.0568074194454144
0.49837059325120603,0.0404613340294583,-0.0551660560086356
0.49846443745502195,0.0393067921361561,-0.053495390450323504
0.498564483654365,0.038031323545806205,-0.051806720796857005
0.498669146107921,0.0366428152040201,-0.0501094503109432
0.49877700775716705,0.0351475566739404,-0.0484097138463897
0.498886883930045,0.0335488217036304,-0.046708639753879094
0.498997743141655,0.0318471031530953,-0.0450052329069666
0.499108656634629,0.0300404501552723,-0.0432973811108726
0.499218727411585,0.0281233216989503,-0.041579270461701394
0.499327095333018,0.0260848658717269,-0.0398425181976636
0.499432797311293,0.0239087307886127,-0.0380766097802023
0.49811120835885997,0.04341927112873709,-0.0700640663965163
0.498052979792938,0.0440815628782993,-0.06969913888083451
0.49800365275766695,0.044635703467726204,-0.0691661366887881
0.49796660271940396,0.0450487265612867,-0.0684665377427034
0.497947501289912,0.0452619058139684,-0.0675819961186167
0.49795375333471104,0.0451910973623432,-0.0665484417737414
0.497971708977562,0.044991836053784304,-0.06538784742734449
0.49884262726152595,0.0340005152520299,-0.0601477974871661
0.498718703964841,0.0357660441776733,-0.0630403394773219
0.498605023858413,0.0373153387026849,-0.0654733616011659
0.498502412169031,0.0386640434685291,-0.0674266381457167
0.49841184150566403,0.0398171472781684,-0.0688717702264599
0.498331838332402,0.040810676424904505,-0.06981283686342671
0.49825175609308897,0.0417760448352204,-0.0702026368679827
0.49817809135383107,0.042645094731679795,-0.0702496172719666
0.499873176491383,0.011254933607369899,-0.0291083028823954
0.49992575352350804,0.00869792309094002,-0.0274990027282808
0.49996626757866,0.00614916500936237,-0.0259482972552438
0.499994196606393,0.0036270424572465098,-0.0244618534073082
0.499986739878291,-0.00567728459256106,-0.0193394914153079
0.499960973993116,-0.00771978547675974,-0.0182825575485168
0.49992869470776896,-0.00963870808534194,-0.017309545905183
0.499891283975648,-0.0114382136101617,-0.0164140994288302
0.499849878617841,-0.0131253291334453,-0.0155889555548098
0.49980544317373204,-0.0147084536274442,-0.0148269055860205
0.499758816500674,-0.0161944141614262,-0.0141220332387375
0.499710714599904,-0.0175901359956179,-0.0134689695439497
0.499661744064419,-0.018901052729263602,-0.0128632982591559
0.499612370366641,-0.0201332841608941,-0.0123006645095202
0.499563093953454,-0.0212895739813872,-0.0117784218956327
0.499514452774236,-0.0223705056475009,-0.0112951577777147
0.499467085110346,-0.0233730628477849,-0.0108510665911747
0.499421712788324,-0.0242919091161752,-0.010447864105223501
0.499379267775282,-0.0251165285559159,-0.0100883659570088
0.499340977055602,-0.0258316530949114,-0.00978004339854555
0.499308631861092,-0.026410784827631997,-0.0095283577280124
0.499282943176631,-0.0268695148539302,-0.009404649078684001
0.49926177419739304,-0.0272361455803347,-0.0094529329581931
0.49924405419968,-0.0275322986063864,-0.00960377021376633
0.499230194798189,-0.0277568464819943,-0.0098297060890522
0.49922101579470296,-0.0279026003684037,-0.010116421663286499
0.49921792373585994,-0.0279533287312543,-0.0104532350274572
0.49921944692017195,-0.0278739193815815,-0.010836397733310299
0.499237125327583,-0.0275645972573997,-0.0112476825258371
0.49927759839610203,-0.026866404942466404,-0.011626353364252799
0.499896577562259,0.0109027376439389,-0.0336237522906791
0.49980145448685,0.014088989528549301,-0.0362402369439509
0.49996923451811304,0.00772599853974587,-0.031209096625005102
0.49999959789799797,-0.0076800745226125,-0.0214910139003885
0.499947854312945,-0.010443096864434,-0.020011369691697797
0.499884028557795,-0.0130372318037761,-0.0186758493547831
0.499811554178502,-0.015438899785070499,-0.0174527327611734
0.499733058611784,-0.0176550193707507,-0.0163231112557669
0.49965102444563697,-0.0196870533476723,-0.015287411000459501
0.499567930004417,-0.0215338457259064,-0.01434595656882
0.499486224690764,-0.023188916176579498,-0.013502337062532701
0.499408488519512,-0.024642019245147,-0.0127611963847418
0.499337779913381,-0.0258768398528423,-0.01213227804202
0.499701681774434,0.0173156795015891,-0.0391231796384703
0.49957938099026605,0.0205654438401956,-0.0423161015973838
0.49943706045477,0.0237765465003736,-0.0458195562294276
0.49928253215710894,0.026819281114081002,-0.049533325363645894
0.499126625109921,0.0295658015532332,-0.053277642787237005
0.49897851686742295,0.0319545239835246,-0.0568673328464257
