[Name]
R1 Blade

[Spatial Fields]
X,Y,Z

[Data]
X[m],Y[m],Z[m]

0.45,0.038508877238415805,-0.00163687324
0.45,0.043716414366665804,0.03144778925
0.45,0.0744415812616658,0.056061485200000004
0.45,0.07257361612761637,0.05803905538235213
0.45,0.036412800379165805,0.037840346825
0.45,0.030208570075867497,-0.0049731668555755
0.5,0.042883311638462006,-0.00163687164
0.5,0.04809084057296201,0.0314477867
0.5,0.078822327712962,0.0560614849
0.5,0.0769534144199045,0.0580390280329212
0.5,0.040787133927962,0.037840521050000006
0.5,0.03458289135180085,-0.004973155959267804
0.55,0.04725774603850821,-0.0016368700400000002
0.55,0.05246526677925821,0.031447784150000005
0.55,0.0832030741642582,0.0560614846
0.55,0.08133321271219261,0.05803900068349028
0.55,0.045161467476758206,0.037840695275
0.55,0.03895721262773421,-0.004973145062960107
